id,date,amount,product
56,2023-06-24,747.08,Product 8
57,2022-07-13,984.77,Product 1
58,2022-08-20,362.41,Product 9
59,2022-12-29,456.33,Product 10
60,2022-11-26,358.16,Product 3
61,2022-08-23,788.03,Product 1
62,2023-01-13,998.91,Product 5
63,2022-09-26,663.99,Product 7
64,2022-08-20,529.38,Product 10
65,2022-09-02,280.48,Product 6
66,2022-12-17,353.2,Product 8
67,2023-05-29,683.21,Product 9
68,2023-02-03,531.49,Product 4
69,2023-01-19,816.61,Product 7
70,2022-07-09,69.78,Product 4
71,2023-05-27,214.23,Product 2
72,2023-04-18,694.11,Product 10
73,2022-08-03,987.37,Product 2
74,2022-11-09,152.96,Product 6
75,2022-08-02,135.0,Product 7
76,2023-06-02,438.05,Product 4
77,2022-08-20,160.61,Product 1
78,2023-06-02,357.42,Product 4
79,2022-12-06,884.93,Product 4
80,2022-12-20,198.67,Product 4
81,2023-05-09,658.02,Product 10
82,2022-12-01,344.27,Product 6
83,2023-07-01,631.35,Product 1
84,2022-10-05,936.27,Product 9
85,2023-02-26,797.14,Product 8
86,2022-07-06,69.54,Product 10
87,2022-11-06,733.6,Product 1
88,2022-09-21,429.42,Product 9
89,2023-01-14,254.88,Product 9
90,2023-05-08,821.95,Product 3
91,2022-08-02,480.55,Product 10
92,2023-04-27,17.14,Product 3
93,2022-08-17,779.98,Product 7
94,2022-09-17,813.1,Product 10
95,2023-05-10,89.08,Product 9
96,2023-06-24,971.32,Product 6
97,2023-03-16,518.75,Product 8
98,2023-02-26,211.02,Product 5
99,2023-01-16,82.71,Product 3
100,2023-04-28,920.35,Product 3
101,2022-07-27,520.89,Product 8
102,2022-09-06,973.64,Product 1
103,2022-09-11,211.43,Product 5
104,2023-06-19,680.99,Product 9
105,2022-08-10,987.82,Product 7
106,2022-07-21,944.01,Product 10
107,2022-12-14,932.71,Product 6
108,2023-01-13,374.32,Product 5
109,2022-12-05,977.26,Product 9
110,2022-12-16,985.84,Product 8
111,2023-03-05,211.91,Product 9
112,2023-03-03,58.81,Product 3
113,2022-08-31,907.91,Product 9
114,2022-07-04,762.36,Product 4
115,2023-06-07,172.47,Product 2
116,2022-12-25,325.27,Product 4
117,2022-09-21,907.01,Product 1
118,2022-07-22,507.55,Product 9
119,2023-01-04,831.43,Product 8
120,2023-01-13,652.2,Product 6
121,2023-04-21,999.0,Product 1
122,2023-01-13,825.8,Product 7
123,2023-01-18,972.72,Product 2
124,2023-04-11,900.45,Product 1
125,2023-02-17,501.06,Product 2
126,2023-02-05,643.87,Product 2
127,2023-02-10,94.35,Product 9
128,2023-04-14,166.15,Product 5
129,2023-02-24,807.07,Product 8
130,2023-04-18,606.28,Product 3
131,2023-05-20,503.89,Product 3
132,2022-09-15,703.99,Product 4
133,2022-12-20,785.84,Product 4
134,2022-07-25,801.18,Product 2
135,2023-04-21,878.25,Product 1
136,2023-06-20,162.46,Product 6
137,2022-12-23,353.39,Product 10
138,2022-11-20,916.12,Product 2
139,2023-02-15,516.18,Product 5
140,2022-11-16,602.08,Product 3
141,2023-02-16,60.62,Product 2
142,2022-12-22,942.84,Product 8
143,2022-09-03,803.91,Product 6
144,2023-03-18,659.97,Product 5
145,2022-07-17,952.3,Product 8
146,2022-08-31,347.88,Product 10
147,2022-11-06,303.12,Product 7
148,2023-06-29,347.6,Product 7
149,2022-12-07,29.45,Product 6
150,2022-07-03,836.89,Product 4
151,2022-07-25,316.21,Product 10
152,2022-11-16,616.1,Product 7
153,2023-04-14,179.15,Product 8
154,2022-09-14,292.54,Product 4
155,2023-01-29,815.9,Product 2
156,2023-06-10,629.7,Product 1
157,2023-01-08,340.46,Product 4
158,2023-02-15,610.11,Product 6
159,2023-04-27,305.52,Product 6
160,2023-04-01,89.63,Product 6
161,2022-10-02,973.05,Product 4
162,2023-04-28,965.07,Product 9
163,2023-06-12,706.27,Product 9
164,2023-04-05,369.05,Product 10
165,2022-07-26,79.16,Product 9
166,2023-02-13,623.93,Product 6
167,2023-06-28,691.34,Product 1
168,2022-12-12,113.91,Product 9
169,2022-10-13,594.5,Product 5
170,2023-02-21,259.0,Product 8
171,2022-12-04,708.19,Product 4
172,2023-03-06,298.54,Product 6
173,2023-07-01,31.13,Product 2
174,2022-10-03,867.43,Product 4
175,2023-04-12,542.75,Product 4
176,2022-10-01,525.03,Product 8
177,2023-06-11,649.83,Product 1
178,2023-01-28,417.43,Product 7
179,2022-09-04,671.06,Product 8
180,2023-02-14,814.53,Product 10
181,2022-07-28,925.35,Product 7
182,2022-07-31,318.96,Product 8
183,2023-06-04,566.25,Product 8
184,2023-04-08,886.76,Product 1
185,2022-10-19,903.87,Product 6
186,2022-09-02,80.31,Product 8
187,2023-06-22,968.55,Product 4
188,2023-05-27,76.88,Product 8
189,2023-03-08,808.02,Product 2
190,2022-09-26,935.81,Product 3
191,2023-05-27,97.48,Product 2
192,2023-02-11,333.32,Product 8
193,2022-10-04,90.84,Product 8
194,2022-09-10,822.85,Product 8
195,2023-01-29,182.81,Product 10
196,2022-11-29,727.43,Product 8
197,2023-06-27,817.48,Product 9
198,2023-03-24,897.64,Product 9
199,2022-09-20,374.31,Product 5
200,2022-07-21,537.59,Product 8
201,2022-11-14,268.51,Product 8
202,2023-04-02,906.58,Product 4
203,2023-06-26,395.33,Product 6
204,2022-11-12,520.37,Product 1
205,2022-07-07,971.52,Product 6
206,2023-02-11,278.73,Product 9
207,2023-04-09,587.83,Product 1
208,2023-02-12,423.06,Product 7
209,2023-02-17,178.55,Product 3
210,2023-02-23,731.39,Product 9
211,2022-11-10,280.49,Product 6
212,2023-01-17,110.41,Product 7
213,2022-08-25,653.82,Product 2
214,2022-11-01,253.82,Product 2
215,2022-11-18,558.85,Product 9
216,2023-03-11,663.71,Product 3
217,2022-12-19,441.99,Product 2
218,2022-07-27,267.29,Product 7
219,2022-11-21,292.9,Product 7
220,2022-08-31,669.34,Product 10
221,2023-05-02,941.72,Product 7
222,2023-02-12,561.96,Product 7
223,2022-10-04,956.6,Product 5
224,2022-08-24,663.67,Product 7
225,2022-12-19,581.42,Product 8
226,2023-02-28,540.47,Product 9
227,2023-01-08,140.72,Product 4
228,2022-07-29,109.62,Product 9
229,2023-02-19,565.32,Product 3
230,2023-05-14,836.8,Product 3
231,2023-06-23,302.61,Product 6
232,2022-12-14,485.88,Product 7
233,2023-01-22,228.35,Product 6
234,2022-10-30,907.35,Product 3
235,2023-01-25,868.36,Product 7
236,2022-11-08,816.5,Product 7
237,2023-05-25,708.25,Product 4
238,2023-06-23,129.17,Product 6
239,2022-11-24,377.19,Product 6
240,2023-01-24,422.88,Product 8
241,2022-11-24,261.4,Product 1
242,2023-05-08,645.75,Product 9
243,2022-12-03,412.71,Product 6
244,2023-02-16,72.56,Product 6
245,2022-10-02,662.13,Product 8
246,2022-12-06,432.51,Product 9
247,2022-11-09,356.32,Product 10
248,2022-07-14,497.71,Product 3
249,2022-09-17,272.34,Product 1
250,2023-06-01,999.03,Product 2
251,2022-07-05,980.36,Product 5
252,2022-09-05,572.31,Product 4
253,2023-01-22,375.08,Product 2
254,2023-03-01,650.8,Product 7
255,2023-01-15,28.63,Product 1
256,2022-08-06,41.32,Product 4
257,2022-07-05,664.35,Product 6
258,2022-09-02,561.35,Product 5
259,2023-04-05,80.76,Product 5
260,2022-12-29,393.42,Product 7
261,2023-04-28,902.39,Product 4
262,2022-11-23,727.74,Product 2
263,2023-04-12,994.2,Product 8
264,2022-07-06,739.74,Product 7
265,2023-01-09,46.75,Product 1
266,2022-08-02,997.93,Product 5
267,2023-03-08,159.94,Product 4
268,2023-04-19,568.25,Product 9
269,2023-03-13,259.72,Product 10
270,2022-08-17,300.93,Product 5
271,2022-10-15,657.72,Product 9
272,2023-02-27,284.29,Product 6
273,2023-03-09,810.79,Product 2
274,2023-06-28,692.36,Product 2
275,2023-06-17,360.66,Product 2
276,2023-03-11,883.89,Product 6
277,2022-10-28,863.23,Product 6
278,2023-06-26,838.73,Product 9
279,2023-06-05,549.11,Product 6
280,2023-06-22,26.73,Product 8
281,2022-08-19,780.68,Product 6
282,2023-02-15,115.47,Product 5
283,2022-07-26,791.76,Product 4
284,2023-06-06,497.33,Product 6
285,2022-07-27,460.37,Product 9
286,2023-04-07,974.33,Product 8
287,2022-11-03,799.59,Product 3
288,2023-04-25,912.22,Product 2
289,2022-08-05,395.92,Product 2
290,2022-09-07,159.32,Product 10
291,2022-09-15,803.32,Product 6
292,2022-07-14,685.03,Product 1
293,2023-05-24,315.21,Product 7
294,2023-02-23,575.22,Product 10
295,2022-09-20,316.53,Product 5
296,2023-03-13,582.16,Product 3
297,2022-08-04,454.81,Product 8
298,2023-04-23,145.86,Product 9
299,2023-02-28,414.89,Product 6
300,2022-10-24,428.32,Product 2
301,2023-04-14,957.67,Product 6
302,2023-01-16,771.5,Product 8
303,2023-03-10,617.9,Product 6
304,2023-06-13,888.69,Product 7
305,2022-10-10,465.84,Product 7
306,2023-02-27,466.09,Product 8
307,2023-04-26,428.7,Product 5
308,2023-02-05,147.22,Product 8
309,2023-05-31,791.5,Product 4
310,2023-03-03,593.74,Product 9
311,2023-04-06,953.33,Product 6
312,2023-04-06,342.01,Product 3
313,2022-11-03,792.41,Product 8
314,2022-10-23,373.88,Product 9
315,2023-01-02,267.62,Product 1
316,2022-11-27,376.77,Product 10
317,2023-03-15,18.24,Product 8
318,2022-07-30,176.42,Product 7
319,2022-07-03,671.37,Product 5
320,2022-09-15,620.56,Product 10
321,2023-06-02,509.42,Product 10
322,2022-11-06,905.91,Product 5
323,2023-01-10,806.84,Product 4
324,2022-09-28,51.71,Product 1
325,2023-02-16,278.67,Product 10
326,2022-09-15,941.32,Product 9
327,2022-12-31,946.89,Product 2
328,2023-03-12,519.71,Product 2
329,2023-04-15,232.64,Product 8
330,2022-08-12,771.69,Product 3
331,2022-07-22,473.61,Product 3
332,2022-09-13,199.96,Product 1
333,2023-02-18,766.9,Product 6
334,2022-08-12,307.01,Product 4
335,2022-09-17,353.36,Product 3
336,2023-06-06,849.46,Product 9
337,2022-12-03,520.06,Product 7
338,2022-09-20,781.56,Product 8
339,2023-03-23,986.17,Product 9
340,2023-03-08,428.44,Product 2
341,2023-02-15,901.0,Product 6
342,2023-05-04,188.3,Product 8
343,2022-08-28,994.2,Product 5
344,2023-02-09,301.21,Product 4
345,2022-11-19,850.23,Product 3
346,2022-07-22,827.45,Product 7
347,2023-01-17,834.33,Product 9
348,2023-02-17,847.97,Product 5
349,2023-03-18,515.36,Product 7
350,2023-02-13,617.1,Product 3
351,2023-03-24,557.21,Product 2
352,2023-06-08,632.89,Product 2
353,2022-10-07,761.57,Product 10
354,2022-12-04,536.8,Product 5
355,2023-05-13,97.62,Product 9
356,2022-09-18,853.2,Product 3
357,2023-04-08,193.81,Product 6
358,2022-11-18,138.01,Product 10
359,2023-06-23,383.4,Product 2
360,2023-06-08,668.75,Product 7
361,2022-10-02,850.72,Product 9
362,2023-02-23,963.9,Product 7
363,2023-04-11,582.69,Product 8
364,2023-04-16,647.4,Product 2
365,2022-11-23,661.36,Product 7
366,2023-03-02,410.65,Product 2
367,2023-01-16,33.93,Product 10
368,2023-05-05,228.01,Product 8
369,2022-08-15,602.45,Product 1
370,2023-04-20,720.25,Product 3
371,2023-03-10,363.12,Product 6
372,2022-10-20,281.61,Product 10
373,2022-09-30,817.12,Product 8
374,2023-06-19,396.03,Product 8
375,2023-06-28,412.66,Product 9
376,2023-05-04,903.06,Product 3
377,2023-05-17,593.91,Product 3
378,2023-01-18,756.16,Product 7
379,2023-02-03,388.38,Product 6
380,2023-05-23,239.46,Product 3
381,2023-04-27,702.61,Product 2
382,2022-09-11,823.16,Product 1
383,2022-09-20,443.2,Product 6
384,2022-08-07,122.46,Product 1
385,2022-09-25,332.65,Product 10
386,2022-10-09,257.41,Product 2
387,2023-02-05,262.61,Product 1
388,2022-12-30,647.12,Product 4
389,2023-05-16,596.44,Product 5
390,2023-03-12,155.34,Product 5
391,2022-12-16,127.35,Product 2
392,2023-04-24,994.99,Product 5
393,2022-07-25,587.75,Product 4
394,2022-08-06,953.68,Product 7
395,2023-01-24,825.4,Product 3
396,2022-09-17,664.42,Product 1
397,2023-06-12,598.92,Product 2
398,2022-11-23,620.95,Product 1
399,2023-04-23,425.42,Product 6
400,2022-12-10,349.44,Product 10
401,2023-02-04,453.17,Product 9
402,2022-12-09,607.22,Product 8
403,2022-08-13,79.13,Product 1
404,2022-09-13,697.73,Product 2
405,2022-11-23,541.12,Product 8
406,2023-01-09,502.37,Product 3
407,2022-07-18,988.6,Product 10
408,2023-01-27,62.96,Product 8
409,2022-07-25,347.61,Product 4
410,2022-08-11,747.57,Product 4
411,2022-09-27,355.33,Product 10
412,2022-08-05,217.11,Product 9
413,2022-09-28,403.42,Product 8
414,2022-07-29,120.16,Product 2
415,2023-04-09,206.99,Product 2
416,2022-07-20,665.15,Product 1
417,2022-09-08,486.4,Product 3
418,2022-08-06,849.48,Product 9
419,2022-07-04,135.52,Product 5
420,2022-12-13,395.46,Product 8
421,2022-07-14,593.74,Product 10
422,2023-01-31,438.85,Product 3
423,2022-11-03,469.48,Product 6
424,2023-05-02,763.21,Product 4
425,2022-11-30,850.38,Product 7
426,2022-10-24,697.85,Product 1
427,2022-10-16,143.23,Product 1
428,2023-05-29,626.11,Product 1
429,2023-03-01,846.0,Product 10
430,2022-11-19,701.34,Product 5
431,2022-08-30,471.52,Product 2
432,2023-03-22,404.24,Product 10
433,2022-10-02,215.54,Product 6
434,2022-08-04,462.38,Product 7
435,2023-04-26,61.45,Product 10
436,2023-01-04,889.71,Product 3
437,2022-11-09,221.9,Product 10
438,2022-10-08,956.31,Product 4
439,2023-05-08,827.2,Product 8
440,2022-09-12,448.29,Product 2
441,2022-08-14,578.2,Product 8
442,2023-06-13,113.72,Product 4
443,2023-04-12,363.98,Product 10
444,2023-05-12,726.72,Product 3
445,2023-01-05,695.72,Product 9
446,2023-03-12,668.7,Product 8
447,2022-08-15,39.08,Product 4
448,2022-10-05,115.32,Product 8
449,2023-01-11,758.47,Product 6
450,2023-05-30,186.12,Product 7
451,2023-06-03,602.24,Product 9
452,2023-03-27,947.31,Product 5
453,2022-08-24,631.74,Product 2
454,2023-06-23,396.85,Product 10
455,2023-06-27,150.29,Product 6
456,2022-12-23,68.16,Product 10
457,2023-03-11,977.63,Product 9
458,2022-07-20,330.69,Product 8
459,2022-07-28,783.36,Product 5
460,2023-05-22,770.12,Product 1
461,2022-08-11,733.94,Product 9
462,2023-03-21,984.82,Product 9
463,2022-09-17,814.16,Product 4
464,2023-03-16,766.54,Product 3
465,2022-08-10,446.97,Product 5
466,2022-07-29,740.77,Product 10
467,2023-03-12,100.23,Product 4
468,2022-07-04,769.21,Product 8
469,2023-02-27,429.08,Product 10
470,2022-07-05,837.57,Product 7
471,2022-10-06,835.66,Product 5
472,2022-09-05,263.35,Product 8
473,2023-06-19,148.03,Product 9
474,2023-06-11,810.19,Product 1
475,2022-12-09,940.77,Product 9
476,2022-11-13,730.13,Product 8
477,2022-10-31,381.03,Product 10
478,2022-10-02,750.13,Product 1
479,2023-02-28,814.87,Product 9
480,2023-02-19,312.6,Product 7
481,2023-01-17,416.23,Product 1
482,2023-06-03,711.83,Product 7
483,2023-05-23,989.68,Product 6
484,2023-01-16,907.33,Product 1
485,2022-09-11,906.34,Product 10
486,2022-08-22,494.05,Product 9
487,2023-02-06,171.1,Product 3
488,2023-06-10,367.52,Product 5
489,2023-01-25,712.72,Product 7
490,2022-10-20,320.73,Product 5
491,2022-08-25,647.35,Product 1
492,2023-06-08,175.05,Product 6
493,2023-01-31,556.69,Product 7
494,2022-11-29,918.72,Product 6
495,2023-03-07,282.83,Product 8
496,2022-08-30,192.95,Product 8
497,2022-12-16,657.63,Product 8
498,2023-05-20,521.26,Product 8
499,2022-09-05,543.0,Product 1
500,2022-09-11,905.92,Product 2
501,2022-09-13,512.28,Product 8
502,2023-03-20,416.3,Product 1
503,2023-05-26,463.32,Product 10
504,2022-09-26,597.7,Product 9
505,2023-03-17,183.28,Product 9
506,2022-10-21,172.66,Product 5
507,2022-10-11,261.02,Product 3
508,2022-11-15,216.38,Product 9
509,2022-08-17,198.77,Product 10
510,2022-09-06,583.63,Product 7
511,2023-05-18,415.44,Product 5
512,2022-09-07,298.03,Product 2
513,2023-06-26,998.7,Product 9
514,2023-02-26,500.39,Product 2
515,2023-03-22,115.6,Product 2
516,2023-05-08,597.03,Product 10
517,2022-12-19,368.09,Product 1
518,2023-05-10,126.92,Product 9
519,2023-06-16,473.74,Product 8
520,2022-08-22,740.76,Product 1
521,2022-07-19,98.67,Product 1
522,2022-10-30,774.98,Product 6
523,2022-07-21,150.87,Product 6
524,2022-11-06,456.83,Product 10
525,2023-06-11,162.06,Product 9
526,2023-05-30,162.51,Product 4
527,2023-02-09,804.81,Product 7
528,2022-12-03,267.45,Product 9
529,2023-01-16,574.42,Product 5
530,2023-07-02,589.0,Product 3
531,2023-02-28,170.92,Product 5
532,2022-10-23,477.09,Product 2
533,2022-09-29,926.97,Product 1
534,2022-07-25,436.69,Product 9
535,2022-10-02,394.93,Product 7
536,2023-02-02,374.3,Product 9
537,2022-12-07,594.33,Product 2
538,2022-10-20,622.39,Product 9
539,2023-06-30,782.12,Product 9
540,2023-04-03,609.22,Product 8
541,2023-02-08,745.54,Product 1
542,2023-04-20,778.75,Product 5
543,2022-07-25,384.62,Product 4
544,2023-02-25,443.14,Product 4
545,2022-12-25,549.66,Product 6
546,2023-01-28,260.02,Product 1
547,2023-06-15,553.05,Product 9
548,2023-04-24,847.09,Product 10
549,2023-01-16,792.16,Product 4
550,2022-11-04,574.42,Product 9
551,2023-06-15,385.14,Product 4
552,2022-08-25,694.35,Product 7
553,2023-03-25,472.11,Product 10
554,2022-12-10,536.42,Product 6
555,2023-05-04,692.94,Product 3
556,2023-06-01,56.11,Product 3
557,2023-01-01,807.89,Product 3
558,2022-12-22,212.43,Product 3
559,2023-06-28,804.15,Product 7
560,2023-01-09,579.11,Product 2
561,2023-01-18,260.03,Product 6
562,2022-08-17,975.19,Product 10
563,2022-12-30,507.27,Product 4
564,2023-05-04,946.46,Product 4
565,2022-09-26,826.84,Product 2
566,2022-09-13,788.96,Product 9
567,2022-11-10,35.25,Product 8
568,2023-01-26,254.83,Product 9
569,2022-09-21,374.24,Product 9
570,2022-10-10,163.45,Product 8
571,2022-12-01,429.57,Product 3
572,2022-12-02,200.53,Product 4
573,2023-06-07,428.29,Product 9
574,2023-04-02,857.78,Product 7
575,2022-09-20,192.8,Product 8
576,2023-01-17,301.83,Product 6
577,2022-07-07,707.59,Product 7
578,2022-10-21,87.81,Product 10
579,2023-03-10,93.55,Product 8
580,2022-12-18,766.16,Product 5
581,2022-12-07,346.46,Product 1
582,2023-03-27,609.56,Product 10
583,2023-04-14,594.43,Product 9
584,2022-07-11,447.31,Product 10
585,2022-07-11,684.39,Product 6
586,2022-07-31,980.26,Product 1
587,2023-05-16,859.98,Product 8
588,2022-10-21,84.95,Product 2
589,2022-10-16,247.97,Product 4
590,2023-06-23,613.46,Product 2
591,2022-08-25,281.02,Product 6
592,2023-01-30,532.5,Product 4
593,2023-05-22,596.44,Product 10
594,2023-05-15,843.22,Product 5
595,2023-06-27,898.72,Product 7
596,2023-03-06,950.71,Product 6
597,2023-04-01,749.16,Product 9
598,2023-03-09,214.52,Product 5
599,2023-02-07,154.76,Product 8
600,2022-08-31,431.76,Product 10
601,2022-12-18,929.57,Product 5
602,2022-07-28,836.94,Product 9
603,2022-12-28,112.83,Product 1
604,2023-04-14,816.48,Product 2
605,2023-04-26,410.29,Product 4
606,2023-02-15,410.35,Product 1
607,2022-09-10,768.21,Product 6
608,2022-12-03,604.02,Product 4
609,2023-06-28,999.68,Product 10
610,2022-12-11,791.82,Product 4
611,2022-07-30,469.44,Product 7
612,2023-06-29,357.92,Product 9
613,2023-06-13,871.6,Product 5
614,2022-10-14,946.25,Product 4
615,2022-09-29,611.54,Product 10
616,2022-08-07,681.57,Product 1
617,2023-01-19,729.78,Product 9
618,2023-05-18,340.72,Product 3
619,2022-07-09,170.65,Product 7
620,2023-05-07,328.87,Product 9
621,2022-09-19,822.76,Product 8
622,2023-02-06,574.24,Product 1
623,2023-02-04,194.11,Product 9
624,2023-01-03,940.39,Product 10
625,2023-01-11,240.03,Product 4
626,2022-12-06,235.94,Product 2
627,2022-10-23,984.29,Product 8
628,2023-05-24,805.55,Product 7
629,2023-04-17,531.67,Product 4
630,2023-05-06,308.21,Product 2
631,2023-06-30,472.59,Product 2
632,2022-07-18,20.74,Product 2
633,2023-05-03,888.22,Product 4
634,2022-09-16,989.95,Product 8
635,2022-11-04,239.36,Product 1
636,2022-08-17,651.52,Product 3
637,2023-02-09,839.43,Product 5
638,2022-07-09,821.0,Product 7
639,2023-06-04,208.79,Product 9
640,2022-08-29,311.78,Product 8
641,2022-12-25,703.53,Product 7
642,2022-08-07,783.09,Product 1
643,2023-02-13,652.32,Product 6
644,2023-03-14,89.08,Product 9
645,2023-05-13,89.37,Product 6
646,2023-01-29,349.52,Product 8
647,2022-10-10,166.62,Product 1
648,2022-10-10,198.98,Product 1
649,2022-09-16,81.53,Product 6
650,2023-06-17,813.79,Product 1
651,2023-04-26,379.45,Product 3
652,2022-10-15,729.83,Product 4
653,2023-03-08,543.43,Product 3
654,2023-02-10,580.37,Product 6
655,2022-08-31,618.9,Product 3
656,2022-08-19,580.21,Product 5
657,2023-05-28,118.44,Product 7
658,2023-06-20,308.25,Product 10
659,2023-06-01,837.52,Product 6
660,2022-09-20,782.84,Product 6
661,2022-08-24,622.27,Product 5
662,2023-06-12,84.93,Product 5
663,2023-03-02,141.65,Product 7
664,2022-09-03,479.94,Product 3
665,2022-09-22,544.98,Product 3
666,2023-02-17,278.99,Product 10
667,2022-10-11,26.65,Product 6
668,2022-11-17,159.02,Product 5
669,2022-12-20,507.92,Product 4
670,2023-06-11,982.0,Product 6
671,2023-02-26,364.7,Product 7
672,2023-05-13,95.11,Product 8
673,2022-10-11,230.87,Product 2
674,2023-02-17,581.84,Product 5
675,2023-02-08,176.01,Product 9
676,2022-12-27,667.14,Product 9
677,2022-10-07,441.49,Product 2
678,2022-10-18,102.01,Product 5
679,2022-10-15,247.39,Product 10
680,2022-09-19,502.9,Product 8
681,2022-07-12,340.07,Product 6
682,2022-09-20,228.98,Product 7
683,2023-01-12,989.53,Product 9
684,2023-04-19,718.7,Product 1
685,2023-03-15,201.45,Product 5
686,2023-02-06,524.91,Product 6
687,2023-01-27,149.87,Product 9
688,2023-04-10,711.82,Product 1
689,2022-11-23,856.82,Product 9
690,2022-12-20,378.13,Product 9
691,2022-12-29,87.62,Product 2
692,2022-12-18,801.51,Product 8
693,2023-02-20,295.83,Product 1
694,2023-04-28,740.71,Product 3
695,2022-07-16,405.1,Product 2
696,2022-12-17,363.16,Product 6
697,2023-01-23,577.11,Product 9
698,2023-04-13,928.27,Product 10
699,2023-06-20,712.97,Product 5
700,2022-11-22,734.05,Product 6
701,2022-07-18,938.73,Product 7
702,2022-12-13,366.54,Product 10
703,2023-05-05,253.82,Product 10
704,2023-06-30,109.92,Product 3
705,2022-11-16,875.96,Product 8
706,2023-01-05,155.51,Product 9
707,2022-12-05,747.45,Product 6
708,2022-08-15,454.96,Product 3
709,2023-06-15,662.22,Product 3
710,2023-05-07,363.6,Product 4
711,2022-12-27,806.68,Product 7
712,2022-10-04,530.41,Product 4
713,2023-05-06,816.97,Product 2
714,2023-05-14,808.29,Product 4
715,2023-02-13,343.91,Product 3
716,2023-05-30,170.72,Product 4
717,2023-06-04,65.4,Product 6
718,2022-12-31,539.75,Product 8
719,2022-08-06,308.18,Product 3
720,2022-07-30,672.43,Product 9
721,2022-09-17,347.33,Product 8
722,2022-08-24,938.59,Product 9
723,2022-09-30,792.26,Product 7
724,2023-05-11,651.34,Product 1
725,2023-06-14,314.32,Product 9
726,2022-09-29,569.11,Product 3
727,2022-10-02,598.41,Product 5
728,2023-05-22,931.18,Product 1
729,2022-12-28,193.57,Product 5
730,2023-06-04,933.19,Product 1
731,2022-09-29,420.34,Product 1
732,2023-06-26,258.87,Product 4
733,2023-05-19,473.13,Product 10
734,2023-06-06,498.91,Product 4
735,2023-01-15,635.07,Product 8
736,2023-06-24,106.01,Product 8
737,2023-02-10,299.0,Product 6
738,2022-07-10,672.85,Product 1
739,2022-10-24,167.32,Product 2
740,2022-07-29,835.42,Product 4
741,2023-06-03,286.39,Product 1
742,2022-09-13,54.34,Product 2
743,2023-04-02,389.65,Product 5
744,2022-09-30,953.04,Product 8
745,2023-02-03,894.48,Product 5
746,2022-08-10,274.48,Product 10
747,2022-07-05,82.72,Product 6
748,2022-09-11,225.74,Product 9
749,2022-11-08,806.11,Product 5
750,2022-07-16,803.56,Product 6
751,2022-11-17,319.38,Product 7
752,2023-01-06,393.27,Product 4
753,2022-11-10,123.56,Product 10
754,2023-02-10,175.87,Product 9
755,2022-08-05,195.95,Product 1
756,2022-10-06,791.17,Product 7
757,2022-07-12,773.18,Product 4
758,2022-10-21,597.45,Product 5
759,2022-12-29,664.81,Product 9
760,2023-03-20,833.21,Product 3
761,2023-07-01,701.02,Product 5
762,2023-06-13,13.44,Product 3
763,2023-04-25,857.11,Product 2
764,2022-09-28,202.17,Product 9
765,2023-03-21,410.64,Product 7
766,2023-02-28,308.94,Product 7
767,2023-07-01,343.22,Product 7
768,2023-02-22,525.63,Product 5
769,2022-09-18,155.94,Product 6
770,2023-02-24,179.82,Product 1
771,2022-10-22,998.18,Product 4
772,2023-04-11,627.91,Product 8
773,2023-01-03,822.7,Product 6
774,2022-10-28,287.74,Product 9
775,2022-12-20,572.45,Product 6
776,2023-06-07,71.62,Product 6
